#queryIndex	queryItem	stringId	preferredName	annotation
1	FAM3B	9606.ENSP00000350673	FAM3B	Protein FAM3B; Induces apoptosis of alpha and beta cells in a dose- and time-dependent manner; Belongs to the FAM3 family.
2	ACOT12	9606.ENSP00000303246	ACOT12	Acetyl-coenzyme A thioesterase; Acyl-CoA thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs to the free fatty acid and coenzyme A (CoASH), providing the potential to regulate intracellular levels of acyl-CoAs, free fatty acids and CoASH. Acyl-coenzyme A thioesterase 12/ACOT12 preferentially hydrolyzes acetyl-CoA.
3	CSHL1	9606.ENSP00000309524	CSHL1	Chorionic somatomammotropin hormone-like 1; May be a novel gestational hormone required to compensate for absence of other members of the GH/CS cluster during gestation.
4	PCTP	9606.ENSP00000460437	PCTP	Phosphatidylcholine transfer protein; Catalyzes the transfer of phosphatidylcholine between membranes. Binds a single lipid molecule.
5	CYB5RL	9606.ENSP00000434343	CYB5RL	NADH-cytochrome b5 reductase-like; NADH-cytochrome b5 reductases are involved in desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction. Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
6	HLA-G	9606.ENSP00000366024	HLA-G	Soluble HLA class I histocompatibility antigen, alpha chain G; [Isoform 1]: Non-classical major histocompatibility class Ib molecule involved in immune regulatory processes at the maternal-fetal interface. In complex with B2M/beta-2 microglobulin binds a limited repertoire of nonamer self-peptides derived from intracellular proteins including histones and ribosomal proteins. Peptide-bound HLA-G-B2M complex acts as a ligand for inhibitory/activating KIR2DL4, LILRB1 and LILRB2 receptors on uterine immune cells to promote fetal development while maintaining maternal- fetal tolerance. Upon [...] 
7	ABHD17A	9606.ENSP00000250974	ABHD17A	Alpha/beta hydrolase domain-containing protein 17A; Hydrolyzes fatty acids from S-acylated cysteine residues in proteins. Has depalmitoylating activity towards NRAS. Has depalmitoylating activity towards DLG4/PSD95. May have depalmitoylating activity towards MAP6 (By similarity).
8	DCAF17	9606.ENSP00000364404	DCAF17	DDB1- and CUL4-associated factor 17; May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex.
9	COPZ1	9606.ENSP00000449270	COPZ1	Coatomer subunit zeta-1; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins (By similarity). The zeta subunit may be involved in regulating the coat assembly and, hence, the rate of biosynthetic protein transport due to its association-disso [...] 
10	DNAJC27	9606.ENSP00000264711	DNAJC27	DnaJ homolog subfamily C member 27; GTPase which can activate the MEK/ERK pathway and induce cell transformation when overexpressed. May act as a nuclear scaffold for MAPK1, probably by association with MAPK1 nuclear export signal leading to enhanced ERK1/ERK2 signaling.
11	OGG1	9606.ENSP00000306561	OGG1	DNA-(apurinic or apyrimidinic site) lyase; DNA repair enzyme that incises DNA at 8-oxoG residues. Excises 7,8-dihydro-8-oxoguanine and 2,6-diamino-4-hydroxy-5-N- methylformamidopyrimidine (FAPY) from damaged DNA. Has a beta-lyase activity that nicks DNA 3' to the lesion; Belongs to the type-1 OGG1 family.
12	SLC22A7	9606.ENSP00000361666	SLC22A7	Solute carrier family 22 member 7; Mediates sodium-independent multispecific organic anion transport. Transport of prostaglandin E2, prostaglandin F2, tetracycline, bumetanide, estrone sulfate, glutarate, dehydroepiandrosterone sulfate, allopurinol, 5-fluorouracil, paclitaxel, L-ascorbic acid, salicylate, ethotrexate, and alpha- ketoglutarate.
13	THAP4	9606.ENSP00000385006	THAP4	THAP domain containing 4.
14	TRAF3IP2	9606.ENSP00000345984	TRAF3IP2	Adapter protein CIKS; Could be involved in the activation of both NF-kappa-B via a NF-kappa-B inhibitor kinase (IKK)-dependent mechanism and stress- activated protein kinase (SAPK)/JNK.
15	ANKH	9606.ENSP00000284268	ANKH	Progressive ankylosis protein homolog; Regulates intra- and extracellular levels of inorganic pyrophosphate (PPi), probably functioning as PPi transporter; Belongs to the ANKH family.
16	PDCD2	9606.ENSP00000439467	PDCD2	Programmed cell death protein 2; May be a DNA-binding protein with a regulatory function. May play an important role in cell death and/or in regulation of cell proliferation.
17	CAPN10	9606.ENSP00000375844	CAPN10	Calpain-10; Calcium-regulated non-lysosomal thiol-protease which catalyzes limited proteolysis of substrates involved in cytoskeletal remodeling and signal transduction. May play a role in insulin- stimulated glucose uptake; Belongs to the peptidase C2 family.
18	SLC66A1	9606.ENSP00000364295	SLC66A1	Lysosomal amino acid transporter 1 homolog; Amino acid transporter that specifically mediates the pH- dependent export of the cationic amino acids arginine, histidine and lysine from lysosomes.
19	AJUBA	9606.ENSP00000262713	AJUBA	LIM domain-containing protein ajuba; Adapter or scaffold protein which participates in the assembly of numerous protein complexes and is involved in several cellular processes such as cell fate determination, cytoskeletal organization, repression of gene transcription, mitosis, cell-cell adhesion, cell differentiation, proliferation and migration. Contributes to the linking and/or strengthening of epithelia cell-cell junctions in part by linking adhesive receptors to the actin cytoskeleton. May be involved in signal transduction from cell adhesion sites to the nucleus. Plays an importa [...] 
20	MRPL21	9606.ENSP00000354580	MRPL21	Mitochondrial ribosomal protein L21.
22	MAGT1	9606.ENSP00000354649	MAGT1	Magnesium transporter protein 1; Acts as accessory component of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. Involved in N-glycosylation of STT3B-dependent substrates. Specifically required for the glycosylation of a subset of acceptor sites that are near cysteine residues; in this function seems to act redundantly with TUSC3. In its oxidized form proposed to form transient mixed disulf [...] 
23	EPHB4	9606.ENSP00000350896	EPHB4	Ephrin type-B receptor 4; Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Together with its cognate ligand/functional ligand EFNB2 it is involved in the regulation of cell adhesion and migration, and plays a central role in heart morphogenesis, angiogenesis and bl [...] 
24	EPHA7	9606.ENSP00000358309	EPHA7	Ephrin type-A receptor 7; Receptor tyrosine kinase which binds promiscuously GPI- anchored ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Among GPI-anchored ephrin-A ligands, EFNA5 is a cognate/functional ligand for EPHA7 and their interaction regulates brain development modulating cell-cell adhesion and repulsion. Has a repel [...] 
25	LETMD1	9606.ENSP00000389903	LETMD1	LETM1 domain-containing protein 1; Involved in tumorigenesis and may function as a negative regulator of the p53/TP53.
26	EPHA10	9606.ENSP00000362139	EPHA10	Ephrin type-A receptor 10; Receptor for members of the ephrin-A family. Binds to EFNA3, EFNA4 and EFNA5; Belongs to the protein kinase superfamily. Tyr protein kinase family. Ephrin receptor subfamily.
27	IL11	9606.ENSP00000264563	IL11	Interleukin-11; Cytokine that stimulates the proliferation of hematopoietic stem cells and megakaryocyte progenitor cells and induces megakaryocyte maturation resulting in increased platelet production. Also promotes the proliferation of hepatocytes in response to liver damage. Binding to its receptor formed by IL6ST and either IL11RA1 or IL11RA2 activates a signaling cascade that promotes cell proliferation. Signaling leads to the activation of intracellular protein kinases and the phosphorylation of STAT3. Belongs to the IL-6 superfamily.
28	ZDHHC13	9606.ENSP00000400113	ZDHHC13	Palmitoyltransferase ZDHHC13; Palmitoyltransferase for HTT and GAD2. May play a role in Mg(2+) transport; Belongs to the DHHC palmitoyltransferase family. AKR/ZDHHC17 subfamily.
29	ARL9	9606.ENSP00000492671	ARL9	ADP-ribosylation factor-like protein 9; ADP ribosylation factor like GTPase 9.
30	TRIB1	9606.ENSP00000312150	TRIB1	Tribbles homolog 1; Adapter protein involved in protein degradation by interacting with COP1 ubiquitin ligase. The COP1- binding motif is masked by autoinhibitory interactions with the protein kinase domain. Serves to alter COP1 substrate specificity by directing the activity of COP1 toward CEBPA. Binds selectively the recognition sequence of CEBPA. Regulates myeloid cell differentiation by altering the expression of CEBPA in a COP1-dependent manner (By similarity). Controls macrophage, eosinophil and neutrophil differentiation via the COP1-binding domain (By similarity). Interacts wit [...] 
31	MTRF1L	9606.ENSP00000356202	MTRF1L	Peptide chain release factor 1-like, mitochondrial; Mitochondrial peptide chain release factor that directs the termination of translation in response to the peptide chain termination codons UAA and UAG.
32	CHIA	9606.ENSP00000358755	CHIA	Acidic mammalian chitinase; Degrades chitin and chitotriose. May participate in the defense against nematodes, fungi and other pathogens. Plays a role in T-helper cell type 2 (Th2) immune response. Contributes to the response to IL-13 and inflammation in response to IL-13. Stimulates chemokine production by pulmonary epithelial cells. Protects lung epithelial cells against apoptosis and promotes phosphorylation of AKT1. Its function in the inflammatory response and in protecting cells against apoptosis is inhibited by allosamidin, suggesting that the function of this protein depends on [...] 
33	NGLY1	9606.ENSP00000280700	NGLY1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase; Specifically deglycosylates the denatured form of N-linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl-glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high-mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins [...] 
34	ACSM1	9606.ENSP00000301956	ACSM1	Acyl-coenzyme A synthetase ACSM1, mitochondrial; Catalyzes the activation of fatty acids by CoA to produce an acyl-CoA, the first step in fatty acid metabolism. Capable of activating medium-chain fatty acids (e.g. butyric (C4) to decanoic (C10) acids), and certain carboxylate-containing xenobiotics, e.g. benzoate. Also catalyzes the activation of lipoate to lipoyl-nucleoside monophosphate (By similarity). Activates lipoate with GTP at a 1000-fold higher rate than with ATP and activates both (R)- and (S)-lipoate to the respective lipoyl-GMP, with a preference for (R)-lipoate (By similarity).
35	PTCHD1	9606.ENSP00000368666	PTCHD1	Patched domain-containing protein 1; Required for the development and function of the thalamic reticular nucleus (TRN), a part of the thalamus that is critical for thalamocortical transmission, generation of sleep rhythms, sensorimotor processing and attention.
36	EI24	9606.ENSP00000278903	EI24	Etoposide-induced protein 2.4 homolog; Acts as a negative growth regulator via p53-mediated apoptosis pathway. Regulates formation of degradative autolysosomes during autophagy (By similarity); Belongs to the EI24 family.
37	SLC17A5	9606.ENSP00000348019	SLC17A5	Sialin; Transports glucuronic acid and free sialic acid out of the lysosome after it is cleaved from sialoglycoconjugates undergoing degradation, this is required for normal CNS myelination. Mediates aspartate and glutamate membrane potential-dependent uptake into synaptic vesicles and synaptic-like microvesicles. Also functions as an electrogenic 2NO(3)(-)/H(+) cotransporter in the plasma membrane of salivary gland acinar cells, mediating the physiological nitrate efflux, 25% of the circulating nitrate ions is typically removed and secreted in saliva. Belongs to the major facilitator  [...] 
38	SIAE	9606.ENSP00000263593	SIAE	Sialate O-acetylesterase; Catalyzes the removal of O-acetyl ester groups from position 9 of the parent sialic acid, N-acetylneuraminic acid.
39	MYSM1	9606.ENSP00000418734	MYSM1	Histone H2A deubiquitinase MYSM1; Metalloprotease that specifically deubiquitinates monoubiquitinated histone H2A, a specific tag for epigenetic transcriptional repression, thereby acting as a coactivator. Preferentially deubiquitinates monoubiquitinated H2A in hyperacetylated nucleosomes. Deubiquitination of histone H2A leads to facilitate the phosphorylation and dissociation of histone H1 from the nucleosome. Acts as a coactivator by participating in the initiation and elongation steps of androgen receptor (AR)-induced gene activation. Required for correct regulation of hematopoiesis [...] 
40	EPHA2	9606.ENSP00000351209	EPHA2	Ephrin type-A receptor 2; Receptor tyrosine kinase which binds promiscuously membrane- bound ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Activated by the ligand ephrin- A1/EFNA1 regulates migration, integrin-mediated adhesion, proliferation and differentiation of cells. Regulates cell adhesion and differentiation through DS [...] 
41	HAAO	9606.ENSP00000294973	HAAO	3-hydroxyanthranilate 3,4-dioxygenase; Catalyzes the oxidative ring opening of 3-hydroxyanthranilate to 2-amino-3-carboxymuconate semialdehyde, which spontaneously cyclizes to quinolinate.
42	METTL8	9606.ENSP00000480056	METTL8	mRNA N(3)-methylcytidine methyltransferase METTL8; S-adenosyl-L-methionine-dependent methyltransferase that mediates N(3)-methylcytidine modification of mRNAs.
43	MMP2	9606.ENSP00000219070	MMP2	72 kDa type IV collagenase; Ubiquitinous metalloproteinase that is involved in diverse functions such as remodeling of the vasculature, angiogenesis, tissue repair, tumor invasion, inflammation, and atherosclerotic plaque rupture. As well as degrading extracellular matrix proteins, can also act on several nonmatrix proteins such as big endothelial 1 and beta- type CGRP promoting vasoconstriction. Also cleaves KISS at a Gly-|-Leu bond. Appears to have a role in myocardial cell death pathways. Contributes to myocardial oxidative stress by regulating the activity of GSK3beta. Cleaves GSK3 [...] 
44	PGR	9606.ENSP00000325120	PGR	Progesterone receptor; The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Depending on the isoform, progesterone receptor functions as transcriptional activator or repressor. [Isoform B]: Transcriptional activator of several progesteron-dependent promoters in a variety of cell types. Involved in activation of SRC-dependent MAPK signaling on hormone stimulation.
45	RTKN2	9606.ENSP00000362894	RTKN2	Rhotekin-2; May play an important role in lymphopoiesis.
46	SPDYE3	9606.ENSP00000329565	SPDYE3	Speedy protein E3; speedy/RINGO cell cycle regulator family member E3.
47	TRAPPC10	9606.ENSP00000291574	TRAPPC10	Trafficking protein particle complex subunit 10; May play a role in vesicular transport from endoplasmic reticulum to Golgi; Belongs to the TMEM1 family.
48	DNAL1	9606.ENSP00000452037	DNAL1	Dynein light chain 1, axonemal; Part of the multisubunit axonemal ATPase complexes that generate the force for cilia motility and govern beat frequency (By similarity). Component of the outer arm dynein (ODA). May be involved in a mechanosensory feedback mechanism controlling ODA activity based on external conformational cues by tethering the outer arm dynein heavy chain (DNAH5) to the microtubule within the axoneme (By similarity). Important for ciliary function in the airways and for the function of the cilia that produce the nodal flow essential for the determination of the left-rig [...] 
50	STOX1	9606.ENSP00000298596	STOX1	Storkhead-box protein 1; Involved in regulating the levels of reactive oxidative species and reactive nitrogen species and in mitochondrial homeostasis in the placenta. Required for regulation of inner ear epithelial cell proliferation via the AKT signaling pathway (By similarity).
51	OSBPL1A	9606.ENSP00000320291	OSBPL1A	Oxysterol-binding protein-related protein 1; Binds phospholipids; exhibits strong binding to phosphatidic acid and weak binding to phosphatidylinositol 3-phosphate (By similarity). Stabilizes GTP-bound RAB7A on late endosomes/lysosomes and alters functional properties of late endocytic compartments via its interaction with RAB7A. Binds 25-hydroxycholesterol and cholesterol ; Belongs to the OSBP family.
52	VPS54	9606.ENSP00000272322	VPS54	Vacuolar protein sorting-associated protein 54; Acts as component of the GARP complex that is involved in retrograde transport from early and late endosomes to the trans-Golgi network (TGN). The GARP complex is required for the maintenance of the cycling of mannose 6-phosphate receptors between the TGN and endosomes, this cycling is necessary for proper lysosomal sorting of acid hydrolases such as CTSD. Within the GARP complex, required to tether the complex to the TGN. Not involved in endocytic recycling ; Belongs to the VPS54 family.
53	TSSK4	9606.ENSP00000339179	TSSK4	Testis-specific serine/threonine-protein kinase 4; Serine/threonine kinase which is involved in male germ cell development and in mature sperm function (By similarity). May be involved in the Cre/Creb signaling pathway (By similarity). Phosphorylates CREB1 on 'Ser-133' in vitro and can stimulate Cre/Creb pathway in cells. Phosphorylates CREM on 'Ser-116' in vitro (By similarity). Phosphorylates ODF2 on 'Ser-95' (By similarity). Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family.
54	LRRFIP2	9606.ENSP00000338727	LRRFIP2	Leucine-rich repeat flightless-interacting protein 2; May function as activator of the canonical Wnt signaling pathway, in association with DVL3, upstream of CTNNB1/beta-catenin. Positively regulates Toll-like receptor (TLR) signaling in response to agonist probably by competing with the negative FLII regulator for MYD88-binding; Belongs to the LRRFIP family.
55	RGS4	9606.ENSP00000397181	RGS4	Regulator of G-protein signaling 4; Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits thereby driving them into their inactive GDP-bound form. Activity on G(z)-alpha is inhibited by phosphorylation of the G-protein. Activity on G(z)-alpha and G(i)- alpha-1 is inhibited by palmitoylation of the G-protein.
56	SKA3	9606.ENSP00000319417	SKA3	Spindle and kinetochore-associated protein 3; Component of the SKA1 complex, a microtubule-binding subcomplex of the outer kinetochore that is essential for proper chromosome segregation. The SKA1 complex is a direct component of the kinetochore-microtubule interface and directly associates with microtubules as oligomeric assemblies. The complex facilitates the processive movement of microspheres along a microtubule in a depolymerization-coupled manner. In the complex, it mediates the microtubule- stimulated oligomerization. Affinity for microtubules is synergistically enhanced in the  [...] 
57	CFAP251	9606.ENSP00000288912	WDR66	Cilia- and flagella-associated protein 251; Involved in spermatozoa motility. May also regulate cilium motility through its role in the assembly of the axonemal radial spokes (By similarity).
58	PDE8B	9606.ENSP00000264917	PDE8B	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B; Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in specific signaling in the thyroid gland.
59	MYNN	9606.ENSP00000326240	MYNN	Myoneurin.
60	RNF212	9606.ENSP00000389709	RNF212	Probable E3 SUMO-protein ligase RNF212; SUMO E3 ligase that acts as a regulator of crossing-over during meiosis: required to couple chromosome synapsis to the formation of crossover-specific recombination complexes. Localizes to recombination sites and stabilizes meiosis-specific recombination factors, such as MutS-gamma complex proteins (MSH4 and MSH5) and TEX11. May mediate sumoylation of target proteins MSH4 and/or MSH5, leading to enhance their binding to recombination sites. Acts as a limiting factor for crossover designation and/or reinforcement and plays an antagonist role with  [...] 
62	ALCAM	9606.ENSP00000305988	ALCAM	CD166 antigen; Cell adhesion molecule that mediates both heterotypic cell- cell contacts via its interaction with CD6, as well as homotypic cell- cell contacts. Promotes T-cell activation and proliferation via its interactions with CD6. Contributes to the formation and maturation of the immunological synapse via its interactions with CD6. Mediates homotypic interactions with cells that express ALCAM. Required for normal hematopoietic stem cell engraftment in the bone marrow. Mediates attachment of dendritic cells onto endothelial cells via homotypic interaction. Inhibits endothelial ce [...] 
63	AK5	9606.ENSP00000346577	AK5	Adenylate kinase isoenzyme 5; Nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Active on AMP and dAMP with ATP as a donor. When GTP is used as phosphate donor, the enzyme phosphorylates AMP, CMP, and to a small extent dCMP. Also displays broad nucleoside diphosphate kinase activity.
64	MASP1	9606.ENSP00000296280	MASP1	Mannan binding lectin serine peptidase 1.
65	CCDC150	9606.ENSP00000373827	CCDC150	Coiled-coil domain containing 150.
66	CBR4	9606.ENSP00000303525	CBR4	Carbonyl reductase family member 4; The heterotetramer with HSD17B8 has NADH-dependent 3- ketoacyl-acyl carrier protein reductase activity, and thereby plays a role in mitochondrial fatty acid biosynthesis. Within the heterotetramer, HSD17B8 binds NADH; CBR4 binds NADPD. The homotetramer has NADPH-dependent quinone reductase activity. Both homotetramer and the heterotetramer have broad substrate specificity and can reduce 9,10- phenanthrenequinone, 1,4-benzoquinone and various other o-quinones and p-quinones (in vitro).
